Tweet,message,match,Polarity
38,RT chiliesjimin MY PROFESSOR WHO WORKED WITH BTS TWT AT FIRST ONTARIO CENTRE SAID BTS IS COMING BACK TO CANADA IN APRIL,None,Neutral
39,KhalifaSpeaks They are all jealous of the progress made by southerners look at the southerners abroad and their a,None,Neutral
40,RT cbcnewsbc Godfrey Gao was shattering stereotypes of Asian men well before Crazy Rich Asians and before the film and beauty indust,well beauty,Positive
41,More than two thirds 68 per cent of survey respondents to a recent Angus Reid Institute poll say that they would,None,Neutral
42,RT DominionParty A flag is simply not colourful cloth nor is it just pulled out of thin air A flag is a rallying call to a nation it l,None,Neutral
43,Hopefully after sending out the rest of us and europe orders i can work on for canada and australia,work,Positive
44,moseskuria htt,None,Neutral
45,He wants to make it in,None,Neutral
46,N,None,Neutral
47,Tis Nathan Ryan He was named for a dear mate we lost up in Canada Naty C She is still missed every day And the,lost missed,Negative
48,Though we don t get like Canada levels of snow or w e but th,like,Positive
49,Western Canada looking for answers after Morneau s update via YouTube,None,Neutral
50,RT susantananda3 This strange movement of the land of the forest is called the phenomenon of movement of the forest floor and usually o,strange,Negative
51,RT JackNationalist Supreme Court awards 20K to woman fined for refusing to hold escalator handrail CBC News,None,Neutral
52,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
53,AOS Western Canada Judging Centre Results from the Monthly Judging on November 16th 2019,None,Neutral
54,RT 1eggwhite HEY LIL DONNIE GUESS WHAT I WENT TO CANADA AND THEY BANNED AUTOMATIC GUNS AND NOW THE DEATH RATE IS ABSOLUTE ZERO HOW DO,None,Neutral
55,RT ThatBrightDude When Nigerians hear that there s free Visa to Canada,free,Positive
56,He says gays in Gaza are executed in accordance with Sharia law amp that Sharia,None,Neutral
57,CanadianFreeSamples Free Gentle Cleansing Water Sample for Canada USA,None,Neutral
58,RT Canuck6227 MonicaFibonacci Paola Dec1231 Canada is doomed under incompetent trudeau,doomed incompetent,Negative
59,XboxSupport I need some help I m on my 360 and I m trying to buy some games on my 360 but I don t know how to fill,None,Neutral
60,RT perlmutations Also shooting off automatic rounds here in Canada doesn t seem to be the sexual fetish of it all like for some folk,like,Positive
61,7,None,Neutral
62,RT chiliesjimin MY PROFESSOR WHO WORKED WITH BTS TWT AT FIRST ONTARIO CENTRE SAID BTS IS COMING BACK TO CANADA IN APRIL,None,Neutral
63,My all time time fav poet Cohen said There is a Crack in Everything that s how the Light gets in,fav,Positive
64,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
65,BFTPOSTS Have and I didn t get them for 3 months Canada post lost em,lost,Negative
66,RT MitzieHunter Canada is warming at a rate twice as fast as the rest of the world Our communities are already feeling the effects of c,fast,Positive
67,RT Sandro power LiveStream Tonight 930pm EST Canada Fiqure out your time zone SPY AAPL DIS ROKU TSLA I will be talking about our g,None,Neutral
68,RT WpgPoliceHarm A perfect example of how security infrastructure can greatly escalate situations The 16 year old boy shot nine times by,perfect,Positive
69,He wants to make it in,None,Neutral
70,Canada Gun Club This Liberal government hates guns with a passion They don t believe that private citizens should,None,Neutral
71,alexnpress Probably how my lib parents who I recently told about Pete for the first time because we live in Canad,None,Neutral
72,rocketIuv what the fuck was up with you and canada,fuck,Negative
73,United States,None,Neutral
74,RT ELLEmagazine This isn t picketing and marching through the streets says Kanahus Manuel a Secwepemc land defender We are assertin,None,Neutral
75,RT CBCNews Huawei chief financial officer Meng Wanzhou is accused of fraud for allegedly inducing banks into a possible breach of U S sa,fraud breach,Negative
76,The scrapping of all observed weather data from 1850 to 1949 was necessar,None,Neutral
77,,None,Neutral
78,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
79,For australia and canada orders will be in the third and last batch so sorry it s going to be a little bit late TT,sorry,Negative
80,Do you Think Canada would recieve me,None,Neutral
81,RT TerryGlavin This guy should be summoned to the PMOffice and instructed to mind his bloody tone or be immediately deported No other em,bloody,Negative
82,PETA supporters amp Long Island Orchestrating for Nature educated shoppers at a LongIsland,educated,Positive
83,RT joselisceline why are we not bullying him so he can stop behaving like this sis is from canada speaking like a grime rapper,like like,Positive
84,RT susantananda3 This strange movement of the land of the forest is called the phenomenon of movement of the forest floor and usually o,strange,Negative
85,On top of concerns of spying IP theft,None,Neutral
86,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
87,Photo Vice,None,Neutral
88,Do you remember Slave To The Thrill Hear it on PopCanRetro at for Canada s Best Music of 70s 80s 90s,None,Neutral
89,From what I can tell not much Automatic weapons seriously Automatic weapons are all but illegal for private cit,illegal,Negative
90,Would a WhiteWoman s upset trigger a lockdown police intervention and a one year ban from her child s school,upset,Negative
91,RT amyklobuchar The Senate GOP needs to stop dragging its feet on getting my election security bill passed we need to secure our voting,None,Neutral
92,A Canada where Alberta and the West can th,None,Neutral
93,RT 1eggwhite HEY LIL DONNIE GUESS WHAT I WENT TO CANADA AND THEY BANNED AUTOMATIC GUNS AND NOW THE DEATH RATE IS ABSOLUTE ZERO HOW DO,None,Neutral
94,RT susantananda3 This strange movement of the land of the forest is called the phenomenon of movement of the forest floor and usually o,strange,Negative
95,Violent crime that doesn t involve guns i,crime,Negative
96,Discover hotels around Calgary Canada from 19 EUR per night,None,Neutral
97,So why d,None,Neutral
98,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
99,The Liberals are refusing to gi,refusing,Negative
100,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
101,RT LisaMiszczak andyypants Xam017 osstf Sflecce According to The Conference Board of Canada report on public education every dollar,None,Neutral
102,RT LopesInsights Nigeria s middle class keep emigrating partly to reach out to efficient school systems But it is not only Nigerians Ti,efficient,Positive
103,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
104,RT CBCNB Man pleads guilty to manslaughter in Christmas Eve homicide,guilty,Negative
105,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
106,What s new on Netflix Canada Crave Amazon Disney and Apple TV in December,None,Neutral
107,Supreme Court Slams Montreal Transit For Arresting Woman Not Holding Handrail HuffPost Canada,None,Neutral
108,It Doesn t Work That Way,None,Neutral
109,The scrapping of all observed weather data from 1850 to 1949 was necessar,None,Neutral
110,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
111,RT TrueNorthCentre Nearly a third of foreign student visa holders in Canada are believed to not be enrolled in a Canadian school accordi,None,Neutral
112,RT knittwist AmazonHelp U S support to Canada and it s still not resolved disappointed,None,Neutral
113,Sam Ruzhentsev 31pts amp 9r,None,Neutral
114,RT GMShivers There was a school in Red Deer that put up posters stating much worse than this conservatism lead to nazism Keep in mind w,None,Neutral
115,RT LawScribes RuleOfLaw In a free and democratic society police officers can t interfere with people s freedoms except where the law,free freedoms,Positive
116,RT jamie blom Never did from CANADA either Disrespectful Respect the Country,None,Neutral
117,RT AndrewScheer Congrats CandiceBergenMP House Leader of the Official Opposition She will work tirelessly with our Caucus in the House,work,Positive
118,CanadianFreeSamples Free Together We Rise stickers Sample for Canada U,None,Neutral
119,,None,Neutral
120,Yifan1Huang MikeFaganTaiwan LReblend HuXijin GT Enjoy Canada Why not try mainland China,None,Neutral
121,on Nov28 2019 as a,None,Neutral
122,RT ThatBrightDude When Nigerians hear that there s free Visa to Canada,free,Positive
123,ITS GAMEDAY We are in the trashiest city in Canada The dump they call Toronto Looking to grab another victory,None,Neutral
124,Doesn t matter who has tried Socialism throug,None,Neutral
125,adrianarios001 Iam from nova Scotia Canada and were are you from,None,Neutral
126,RT BarbaraRKay Laundering George Orwell s message to serve as a propaganda tool for ideologues is an abuse of power And it s happening i,propaganda abuse,Negative
127,RT globeandmail Don t trade your pension for a prostate Readers react to the reality of dating over 65 and women who don t want to liv,None,Neutral
128,Both extremely,None,Neutral
129,RT wastedayscalum candians have No Rights canada isnt even real you cant change my mind,None,Neutral
130,RT DruhFarrell The vast majority of teachers and nurses are female This isn t just an attack on the public service it s an attack on wo,attack attack,Negative
131,7,None,Neutral
132,RT susantananda3 This strange movement of the land of the forest is called the phenomenon of movement of the forest floor and usually o,strange,Negative
133,ThePatriotHour Happy Bday from Canada Keep waking the masses,None,Neutral
134,RT exprincehall HB04920973 FederalistNo78 AnJillOfLight mntcol Shorty56167141 LoveBling6 TroyLawson5 jaimec729 ThomasFines scot,None,Neutral
135,RT jensstoltenberg Just out NATO s updated defence spending numbers By the end of 2024 European Allies amp Canada will have added an ex,None,Neutral
136,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
137,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
138,Carbon capture study receives support from province Alberta Canada to study CCS CCSUSE in cement industry to lead,support lead,Positive
139,RT PAULJOUDREY3 Canada Gun Club Won t happen with this government Our Charter of Rights and Freedoms are an impediment to our Justice s,impediment,Negative
140,RT tleehumphrey Meanwhile in Canada the country that sacrificed thousands of her soldiers at the outset of WWII in an effort to save Ho,sacrificed,Negative
141,Such a strong leader for Six Nations and First Nations across Canada Ava hired new in 1981 as the Policy Analyst,strong,Positive
142,RT sudarsansand Welcome to India s biggest SandArt festival at Konark from 1st December 5th More then hundred sandartist across the cou,None,Neutral
143,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
144,Alberta Health Services plans to lay off 750 front line nurses union says CBC News,None,Neutral
145,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
146,exprincehall FederalistNo78 AnJillOfLight mntcol Shorty56167141 LoveBling6 TroyLawson5 jaimec729,None,Neutral
147,The Samsung Galaxy Fold is headed to Canada with in store pre orders starting today,None,Neutral
148,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
149,RT MichaelJPartyka perlmutations BREAKING No one ever dies in Canada Of anything Anything at all,dies,Negative
150,veronicab 26 BTS twt Canada and I love Cooky thank u for the ga,love thank,Positive
151,United States,None,Neutral
152,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
153,RT ConcernedPah Woman handcuffed for not holding handrail on an escalator wins at Supreme Court of Canada via to,wins,Positive
154,perlmutations BREAKING No one ever dies in Canada Of anything Anything at all,dies,Negative
155,RT RCI 101 Can someone well versed in cdnpoli please tell me what PierrePoilievre has done to advance purposeful public policy in Cana,well purposeful,Positive
156,RT BTSonthecharts Apple Music is running a Black Friday Cyber Monday deal through Shazam in the USA UK and Canada from 29 November,None,Neutral
157,RT HockeyCanada A statement from Hockey Canada,None,Neutral
158,Unions told thousands more job cuts coming to Alberta public service CBC News,None,Neutral
159,RT Eighteen K Winnipeg is Canada s Florida,None,Neutral
160,RT sanverde TFW your Chinese ambassador can readily call upon its princess legally detained in her multi million dollar mansion in Canada,readily,Positive
161,I would like to see a syllabus of talk,like,Positive
162,andrewscheer gets partial credit for identifying that the Canada Food Guide is an unscientific relic But he doesn,None,Neutral
163,RT backt0nature Rare White moose spotted in Ontario Canada Everyone deserves to see this magnificent beauty,magnificent beauty,Positive
164,RT HHTHVancouver Whether you were a participant sponsor volunteer or donor we thank you so much for making this charity tournament su,thank,Positive
165,RT MastercardNews Today we re launching the Mastercard Index of Women Entrepreneurs which tracks the progress of womenentrepreneurs wo,progress,Positive
166,RT perlmutations Also shooting off automatic rounds here in Canada doesn t seem to be the sexual fetish of it all like for some folk,like,Positive
167,RT blogTO Gotta love Black Friday in Canada Canada BlackFriday BlackFriday2019,love,Positive
168,Need to clean up the highways City looks Ike a homeless camp with ditches filled with trash,None,Neutral
169,RT TerryGlavin This guy should be summoned to the PMOffice and instructed to mind his bloody tone or be immediately deported No other em,bloody,Negative
170,RT KristopherWells Wilberforce Project is a well known anti abortion group who backs the UCP Remember Bill 207,well,Positive
171,Went out tonight in Canada and guy sitting next to me was a Trump supporter WTF We got into a pretty brut,supporter pretty,Positive
172,RT Suzziiee Bruh there s black people in Canada too,None,Neutral
173,RT KiaCanada Kia celebrates its 1 millionth vehicle sale in Canada One million vehicles sold means one million different stories Do you,None,Neutral
174,RT ThatBrightDude When Nigerians hear that there s free Visa to Canada,free,Positive
175,GypsySpirit46 perlmutations PinkBling2017 You don t actually have to register semi automatic rifles or shotguns,None,Neutral
176,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
177,RT ChattieCathie1 Roberttimestwo GOPChairwoman ADevotedYogi realDonaldTrump HOGWASH Left wing nonsense passed down party lines with,nonsense,Negative
178,moseskuria htt,None,Neutral
179,PLinUSA In Canada just sub in DAZN for all but the Saturday 1230 match,None,Neutral
180,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
181,RT Franktmcveety Trudeau grants Huawei permission for 4G system in the North Even though the USA has said Canada will be expelled from t,None,Neutral
182,How Canada s Universal Health Care System Works via YouTube Yup we love our M4all Try it you ll like it,love like,Positive
183,RT chiliesjimin MY PROFESSOR WHO WORKED WITH BTS TWT AT FIRST ONTARIO CENTRE SAID BTS IS COMING BACK TO CANADA IN APRIL,None,Neutral
184,United States,None,Neutral
185,This is not only concerning but more reason that basic oral healthcare should be covered by OHIP Dentistry shoul,None,Neutral
186,Adbusters CNN ExtinctionR Today the BuyNothingDay Global ClimateStrike in K jipuktuk Halifax Canada,None,Neutral
187,RT susantananda3 This strange movement of the land of the forest is called the phenomenon of movement of the forest floor and usually o,strange,Negative
188,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
189,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
190,moseskuria htt,None,Neutral
191,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
192,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
193,RT perlmutations Also shooting off automatic rounds here in Canada doesn t seem to be the sexual fetish of it all like for some folk,like,Positive
194,RT sharidorr Bird5Ca Another good reason for the West to leave Canada Toronto has been a sick place for a long time They think they ar,None,Neutral
195,lovespells USA UK Australia SouthAfrica Ghana Canada Newzealand,None,Neutral
196,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
197,Blow The Trap canada yang BatmasoTheHairy Viscous cree tega kay NusquamTheGrey unemployment affects people s,None,Neutral
198,Breakdown is based o,None,Neutral
199,RT Kathlee68471913 I m ready to sponsor 10 sugar baby tonight just DM with a reason you need money sugarbaby sugarbabyneeded sugarmu,ready,Positive
200,seil erom on CNBC I only call 3 million an okay start They should end food stamps for 47 million Much of that s,None,Neutral
201,RT hobijimin Hoseok calling Jimin sexy for paying for their clothes the way he flirted with Jungkook in that run Canada episode when Koo,sexy,Positive
202,RT FMcQueen31 Canada also has licensing and secure storage laws they enforce,secure,Positive
203,RT amyklobuchar The Senate GOP needs to stop dragging its feet on getting my election security bill passed we need to secure our voting,None,Neutral
204,RT cblackst This is a turning point in reconciliation Canada either fully complies with the Tribunal s rulings amp ends discrimination in,None,Neutral
205,FrankSowa1 As a 70 yr old Canadian living a mere 12m from the USA all my life I have no issue with U amp I know no,issue,Negative
206,RT CBCNews Why wouldn t I go somewhere where I feel welcome Seeba Chaachouh law student McGill University,welcome,Positive
207,RT CBCCanada Wexit cost Calgary 1 000 person company says economic development boss,None,Neutral
208,Sam Ruzhentsev 31pt,None,Neutral
209,CBCNews Only in Canada can you video a person murdering 2 people amp shooting others amp not get the book thrown at hi,None,Neutral
210,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
211,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
212,RT joselisceline why are we not bullying him so he can stop behaving like this sis is from canada speaking like a grime rapper,like like,Positive
213,RT hk watch Canada has already passed the Sergei Magnitsky Act that allows Canada to impose asset freezes and travel bans on human righ,impose freezes,Negative
214,People walked from thei,None,Neutral
215,RT NavdeepSBains Thank you Dr Hewitt for your ongoing work as President of the SSHRC CRSH amp for your leadership as Chair of the Canada,work,Positive
216,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
217,Danyiel Walker pleads guilty to 44 charges multiple sexual assaults of young boys,guilty,Negative
218,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
219,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
220,Natural hand rests which is probably necessary for your centre of gravi,None,Neutral
221,RT OilsandsAction Everyone needs to hear this Everyone Canada TMX Indigenous,None,Neutral
222,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
223,It Doesn t Work That Way,None,Neutral
224,Happy Holidays to those that participate and to my Cali and Canada fam I m back in the states wit my Jersey NYC fam,None,Neutral
225,RT susantananda3 This strange movement of the land of the forest is called the phenomenon of movement of the forest floor and usually o,strange,Negative
226,RT OnCall4ON PalliativeCare helps ppl with serious illness live better alongside amp in addition to any other treatment for your illne,None,Neutral
227,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
228,RT cblackst This is a turning point in reconciliation Canada either fully complies with the Tribunal s rulings amp ends discrimination in,None,Neutral
229,RedRoseTea,None,Neutral
230,Buckhorn grandma,None,Neutral
231,RT GenEngNetwork glyphosate Canada So far 291 people have contacted Merchant Law Group about class action That may not sound like a lo,like,Positive
232,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
233,RT CaringSociety BREAKING The Honourable Mr Justice Favel dismisses Canada s motion asking for a stay of order of 2019 CHRT 39 Read th,None,Neutral
234,RT SummerInSmokeHK HongKong activists visited Ottawa in June to urge Canadian gov to enact the MagnitskyAct style sanctions against of,None,Neutral
235,RT petersonselin sugarbabyneededI m a legit sugar mummy I have only give some of my babies what they wanted Are you still in need of a,None,Neutral
236,Please pour a cup,None,Neutral
237,RT DTurkoski cangal21 The proper name is Christmas Doesn t mean you have to believe in it I would refer to a Sikhs hair covering as a,proper,Positive
238,RT wapimaskwa69 I m not defending the Calgary flames coach but why is Justin s situation any different It was also many years ago as we,None,Neutral
239,How you game in Canada brrrr,None,Neutral
240,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
241,That has some experts alarmed given t,alarmed,Negative
242,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
243,RT DruhFarrell The vast majority of teachers and nurses are female This isn t just an attack on the public service it s an attack on wo,attack attack,Negative
244,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
245,OPINION Sustainable is a trendy word in the food industry but farmers aren t getting enough credit for it C,trendy enough,Positive
246,RT IMOHQ IMO Council Category b 10 States with the largest interest in international seaborne trade Congratulations to Argentina Aust,None,Neutral
247,lovespells USA UK Australia SouthAfrica Ghana Canada Newzealand,None,Neutral
248,Don t miss the opportunity to share and discuss the latest science and research findings on your products and servi,miss,Negative
249,Happy Holidays to those that participate and to my Cali and Canada fam I m back in the states wit my Jersey NYC fam,None,Neutral
250,United States,None,Neutral
251,RT KLovesNature Happy Halloween Photographer Trevor Pottelberg s split second shot captures SPOOKY SKULL wave off Port Stanley in Ontar,split,Negative
252,It erodes,erodes,Negative
253,my parents is bts ever coming to canada can we see them,None,Neutral
254,lovespells USA UK Australia SouthAfrica Ghana Canada Newzealand,None,Neutral
255,RT amyklobuchar The Senate GOP needs to stop dragging its feet on getting my election security bill passed we need to secure our voting,None,Neutral
256,RT amyklobuchar The Senate GOP needs to stop dragging its feet on getting my election security bill passed we need to secure our voting,None,Neutral
257,A Canada where Alberta and the West can th,None,Neutral
258,RT KLovesNature Autumn in Stanley Park Vancouver BC Canada,None,Neutral
259,RT perlmutations Also shooting off automatic rounds here in Canada doesn t seem to be the sexual fetish of it all like for some folk,like,Positive
260,PolytanAP AstroTu,None,Neutral
261,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
262,RT KlNGOFTHENINES ASyntheticLove Twitter is being hacked they ve taken servers down for Eastern US Canada GB and The UK,None,Neutral
263,RT Westview Al They ll say this is just privatization of services to cut costs It won t private business is not in business to lose m,None,Neutral
264,lovespells USA UK Australia SouthAfrica Ghana Canada Newzealand,None,Neutral
265,RT A4AOntario EVERY SINGLE AUTISTIC SELF ADVOCACY ORGANIZATION IN CANADA OPPOSES CASDA S NATIONAL AUTISM STRATEGY,None,Neutral
266,Welcome to India s biggest SandArt festival at Konark from 1st December 5th More then hundred sandartist across t,None,Neutral
267,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
268,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
269,TheLaurenChen Hey remember that time the human rights tribunal in Canada ruled it was was a violation of a woman s,violation,Negative
270,RT RussDiabo Our worst nightmares are being realized Experts say First Nations need more power to save B C salmon CBC News,worst,Negative
271,RT dannyblue49 Crime opioid abuse boarded up businesses and fleeing populations are destroying the country s heartland Can small town,abuse fleeing,Negative
272,tomcoates Canada has such a thing also or had but I think it still does,None,Neutral
273,lovespells USA UK Australia SouthAfrica Ghana Canada Newzealand,None,Neutral
274,My story how our PM treated everyone from wester,None,Neutral
275,RT merry123459 In Canada alone BC has had carbon tax for a decade Quebec has Cap amp Trade Both provinces have a big surplus No deficit,None,Neutral
276,It s the faith placed in,faith,Positive
277,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
278,lovespells USA UK Australia SouthAfrica Ghana Canada Newzealand,None,Neutral
279,RT ThatBrightDude When Nigerians hear that there s free Visa to Canada,free,Positive
280,RT RobertFife Fadden said We have a reputation of lecturing the planet And that s not enough,reputation enough,Positive
281,The scrapping of all observed weather data from 1850 to 1949 was necessar,None,Neutral
282,RT 1eggwhite HEY LIL DONNIE GUESS WHAT I WENT TO CANADA AND THEY BANNED AUTOMATIC GUNS AND NOW THE DEATH RATE IS ABSOLUTE ZERO HOW DO,None,Neutral
283,RT sunlorrie Simultaneously sad and scary that a Canadian hockey team has a higher moral standard of conduct than the Prime Minister of C,sad scary,Negative
284,2 abused dogs now welcome addition to Winnipeg homes CBC News,None,Neutral
285,RT mark94747959 I m waiting for the first 10 babies to RT Asap seekingarrangment sugarbabyneeded sugarbabytwitter Canada USA sugar,None,Neutral
286,RT CBCToronto Doug Ford s government hurt Andrew Scheer in Ontario Vote Compass data suggests,hurt,Negative
287,So why d,None,Neutral
288,Well hello video game industry friends Thank you for kicking so much ass the world finally realizes we run this bi,None,Neutral
289,RT MovingParadigms While bced public teachers are the lowest paid in western Canada 8 to 15 pay hikes for SD43 execs financial state,None,Neutral
290,Mac Marceau DouglasRichmo17 TheSocialCTV Why is it that whenever there is an abusive tone I typically see it fr,abusive,Negative
291,lovespells USA UK Australia SouthAfrica Ghana Canada Newzealand,None,Neutral
292,RT TheRealKeean It is the weirdest thing America only has 85k citizens in Hong Kong yet the entire legislative amp executive branch stand,None,Neutral
293,RT 1eggwhite HEY LIL DONNIE GUESS WHAT I WENT TO CANADA AND THEY BANNED AUTOMATIC GUNS AND NOW THE DEATH RATE IS ABSOLUTE ZERO HOW DO,None,Neutral
294,RT gadyepstein Great story by my fine feathered Canadian colleague I will never look at my recently acquired Canada Goose quite the sa,fine,Positive
295,RT CBCEdmonton Unions told thousands more job cuts coming to Alberta public service,None,Neutral
296,RT mfisheroverseas What will it take to chill Ottawa s fantastic passion for trade with China amp its dithering about whether to let Huawei,fantastic passion,Positive
297,Richard Florida We need to get ahead of this We need to ban handguns he said Why does anyone need to carry a,None,Neutral
298,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
299,RT A4AOntario One of many examples of the Government of Canada collaborating with Autism Speaks In this Canadian govt document Autism S,None,Neutral
